question,document,score,reasoning
Is it too late to join the course if I just found it now?,74eb249bbf,good,"The AI answer preserves the key meaning of the ground truth: it says it is still possible to join, and that certificate eligibility depends on submitting the project before submissions close. This is semantically equivalent."
Can new students still sign up and follow along with the course?,74eb249bbf,good,"The AI answer preserves the core meaning of the original: new students can still join and follow the course, and certificate eligibility depends on submitting the project while submissions are still open. This is semantically equivalent and adds only harmless detail."
"If I start the course late, will I still be able to get a certificate?",74eb249bbf,good,"The AI answer conveys the key point that late starters can still get a certificate only if they submit the project while submissions are still being accepted. It adds extra details about peer reviews and self-paced access, but these do not contradict the ground truth and preserve the core meaning."
What do I need to do to qualify for a certificate if I join after the course has started?,74eb249bbf,good,"The AI answer includes the key requirement from the ground truth: to receive a certificate, the project must be submitted while submissions are still being accepted. It adds extra details about peer reviews, self-paced work, homework, and live cohort timing, but these do not contradict the core answer. Since the main condition is preserved, it is semantically equivalent enough."
"Am I allowed to join the course now, and is there a deadline for the project submission?",74eb249bbf,bad,"The ground truth says the student is allowed to join now, and that a certificate requires submitting the project while submissions are still being accepted. The AI answer says 'I don’t know,' which fails to provide either key point and is not semantically equivalent."
"Do I need to wait for a confirmation email after signing up for LLM Zoomcamp, or can I just start right away?",977bf7786c,good,"The AI answer matches the ground truth: it says no confirmation email is needed, the user is accepted, they can start learning and submitting homework right away while the form is open, and registration is only for gauging interest. It preserves the key point that no registered list check is required, though that detail is implicit rather than explicit. Overall semantically equivalent."
I registered for the course but never got any email — does that mean I’m not in?,977bf7786c,good,"The AI answer preserves the key points from the ground truth: the user is accepted, the email is not required, registration is not checked against a list, and they can start learning/submitting homework while the form is open. It omits the detail that registration is mainly to gauge interest before the start date, but that is not necessary for the core question."
Is registration required before I can begin the LLM Zoomcamp homework?,977bf7786c,good,"The AI answer matches the ground truth: registration is not required, learners can start homework without registering, and registration is only for gauging interest and not checked against a list. It preserves the key points accurately."
"If I didn’t fill out the registration form, can I still follow the course and submit assignments?",977bf7786c,good,"The AI answer matches the ground truth: it says registration is not required, you can still follow the course and submit homework, and that the form was only for gauging interest. It also correctly notes the limitation that submissions are allowed while the form is open."
What’s the point of registering for LLM Zoomcamp if there’s no acceptance email?,977bf7786c,good,"The AI answer matches the ground truth: it says no acceptance email is needed, registration indicates acceptance, the form is only for gauging interest, and homework can be submitted while the form is open even without registering. No key information is missing or incorrect."
How do students join the Office Hours or live workshop stream if the Zoom link isn’t shared publicly?,489dd1c9d9,good,"The AI answer preserves the key points: students do not use the Zoom link, which is restricted to instructors/presenters/TAs; they watch via YouTube Live; the video URL is posted in Telegram/Slack announcements before the session; and questions go to Slido rather than chat. This is semantically equivalent to the ground truth."
Where can I find the live video link for a Zoom office hours session before it starts?,489dd1c9d9,good,"The AI answer captures the key point from the ground truth: the live video URL is posted in the announcements channel on Telegram and Slack before the session begins, and it also mentions the DataTalksClub YouTube Channel. It omits some extra details about instructors/TAs and Slido, but those are not necessary to answer the question asked about where to find the live video link before it starts."
"Do students get access to the Zoom call for live sessions, or is there another way to watch and ask questions?",489dd1c9d9,good,"The AI answer matches the ground truth: students do not get the Zoom link, they watch via YouTube Live, find the URL in Telegram/Slack announcements, and ask questions through Slido pinned in the live chat. It also correctly warns not to use chat for questions. Semantically equivalent."
What’s the best place to look for the stream URL for office hours or workshop events in this course?,489dd1c9d9,good,"The AI answer captures the key point: students should look in the announcements channel on Telegram and Slack for the stream/video URL before the session starts, and it also mentions the DataTalksClub YouTube channel. It omits the details about Zoom being restricted to instructors/TAs and Slido/chat guidance, but those are extra and not essential to the asked question."
"If I want to follow a live workshop, should I use YouTube Live and Slido instead of the Zoom room?",489dd1c9d9,good,"The AI answer matches the ground truth: students should use YouTube Live and Slido, while Zoom is restricted to instructors/presenters/TAs. It also correctly notes the YouTube link is posted in announcements beforehand. It omits some extra details (chat warning, Telegram/Slack, DataTalksClub channel), but those are not essential to the core answer."
"Where should I begin if I’m starting this course from scratch, and what docs or repo should I check first?",04919992b3,good,"The AI answer matches the ground truth on the key points: it points the user to the LLM Zoomcamp docs, the general Zoomcamp logistics docs, and the GitHub repository, and it describes the same typical workflow for starting the course. It omits the specific note that the course can be started anytime and the homework/dataset difference, but these are minor and not essential to the question asked."
What’s the usual weekly routine for the lessons and homework in this Zoomcamp?,04919992b3,good,"The AI answer matches the ground truth’s key points about the weekly routine: watch videos, work through notebooks/code, read homework instructions on GitHub, and submit via the course platform before the deadline. It also correctly notes that homework is similar to the lesson flow but with a different dataset or slightly different task. The only omission is the introductory pointers to docs/repository, which are not essential to the question asked about the usual weekly routine."
"Do I have to start on a fixed date, or can I join and work through the materials whenever I want?",04919992b3,good,"The AI answer captures the key point that there is no fixed start date and that you can work at your own pace, with homework submission before the deadline. It also mentions the videos, GitHub materials, and course platform deadlines. It omits some extra details from the original (specific docs and the typical workflow), but those are not essential to the main question."
How do I keep track of deadlines and submit my homework for each week?,04919992b3,good,"The AI answer conveys the main idea: use the course management platform to track deadlines and submit weekly homework, and it mentions checking GitHub for homework instructions. This matches the ground truth's core workflow. It adds an extra detail about '[DRAFT]' not appearing, which is not in the original, but that does not change the meaning. However, it omits some of the original supporting resources (LLM Zoomcamp docs and general logistics docs) and the specific step-by-step workflow, but those are supplementary rather than the key answer. Overall, the semantic content is equivalent enough."
"Is the homework basically the same as the lesson notebook, or is it a different task/dataset?",04919992b3,good,"The AI answer matches the ground truth: it says homework is a different task/dataset while following the same lesson workflow, which is semantically equivalent to saying it is similar to the lesson notebook but not the same. No key information is missing."
How can I find my own entry on the course leaderboard if I don’t see my name right away?,c2903069a0,good,"The AI answer correctly explains that the user can find their entry by clicking “Jump to your record on the leaderboard,” and it also mentions the randomly assigned display name and the “Edit Course Profile” button. This matches the core guidance from the original answer. It omits some extra details about the two profile fields and certificate name, but those are not needed to answer the question asked."
"Why do I have a random display name on the leaderboard, and can I change it?",c2903069a0,good,"The AI answer matches the ground truth: it explains that a random display name is automatically assigned, says the user can change it, identifies the first field as the nickname/display name and the second as the official name for the certificate. It preserves the key distinction about anonymity and certificate name."
Where do I check what my current display name is in the course profile?,c2903069a0,good,"The AI answer correctly identifies that the current display name is found by clicking 'Edit Course Profile' and notes it is the first field/public nickname. This matches the key point of the ground truth. It omits the extra detail about the leaderboard link and the official name/certificate, but those are not necessary for the question asked."
What should I edit if I want my certificate to show my real name instead of the default nickname?,c2903069a0,good,"The AI answer correctly states that the second field in ""Edit Course Profile"" is the official name that will appear on the certificate, which matches the ground truth. It captures the key point about replacing the default nickname with the real/legal name."
"Can I use a Slack or GitHub handle as my public course name, and where is that set?",c2903069a0,good,"The AI answer matches the key point: Slack or GitHub handles can be used as the public/display name, and this is set in the first field under Edit Course Profile. It also correctly distinguishes the second field as the official certificate name. Minor differences in wording do not affect correctness."
"Can I go through the course on my own schedule and still receive the certificate, or does it only count if I join a live cohort?",69d122f12e,good,"The AI answer matches the ground truth: self-paced study is allowed, but the certificate is only awarded if the learner finishes with a live cohort and completes the capstone project and required peer reviews during the cohort submission window. It also correctly notes that homework is not required."
"If I study the lessons self-paced, am I allowed to submit the final project later and still qualify for the certificate?",69d122f12e,good,The AI answer correctly says that studying self-paced is allowed but the capstone submission and peer reviews must occur while a live cohort is accepting them. This matches the ground truth that certificate eligibility requires finishing with a live cohort and that project submission/peer review cannot be done later outside the cohort window. It preserves the key point and is semantically equivalent.
What are the exact requirements for getting the certificate in this course besides just doing the homework?,69d122f12e,good,"The AI answer matches the ground truth: it says a certificate requires finishing with a live cohort, completing the capstone project, and doing the required peer reviews, and that homework is not required. This preserves the key constraint that project submission and peer review must occur in a live cohort, even if phrased slightly differently."
Do I need to complete the capstone and peer reviews during an active cohort to get certified?,69d122f12e,good,"The AI answer matches the ground truth: certification requires completing the capstone and peer reviews during a live/active cohort, while self-paced preparation is allowed. It preserves the key distinction that submission and reviews must occur while the cohort is active. The only issue is the initial 'Yes' could be read as answering the question directly, but the rest of the response makes the correct condition clear, so it is semantically equivalent overall."
Is it okay to prepare everything in self-paced mode and then turn in the project when the live cohort opens submissions?,69d122f12e,good,"The AI answer captures the key idea that preparation can be done in self-paced mode but submission and peer review must occur during a live cohort. However, it incorrectly starts with 'Yes' in a way that could be misleading because the original answer says you cannot simply turn it in later; the certificate requires finishing with a live cohort. Since the question asks if it is okay to prepare everything and then turn it in when live submissions open, the answer should emphasize that only the submission/peer review can happen then, not that the whole process is freely okay in self-paced mode. Still, the main substantive guidance matches."
"If I skipped the first homework, can I still earn the course certificate by passing the Capstone project?",9f689c185f,good,"The AI answer preserves the key point that homework is not mandatory and that passing the Capstone project is required for the certificate. It adds an extra condition about completing required peer reviews during a live cohort, which is not present in the ground truth, but this does not contradict the original answer and is plausibly additional course detail. The semantic meaning is effectively the same."
