question,answer_llm,answer_orig,document
Is it too late to join the course if I just found it now?,"Yes, you can still join the course. If you want a certificate, make sure to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can new students still sign up and follow along with the course?,"Yes. You can still join the course whenever you discover it and follow along at your own pace.

If you want a certificate, though, you need to finish the project and submit it while the cohort is still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I start the course late, will I still be able to get a certificate?","Yes, **if the live cohort is still accepting project submissions**. You can start late and still join the course, but to get a certificate you must **submit your capstone project and complete the required peer reviews while a live cohort is open**. If you’re only following the material self-paced after that, you won’t be able to get the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to qualify for a certificate if I join after the course has started?,"To qualify for a certificate after joining late, you need to:

- submit your capstone project while the course is still accepting submissions, and
- complete the required peer reviews.

You can work through the material in self-paced mode, but the project submission and peer reviews must happen while a live cohort is still active. Homework is not required for the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Am I allowed to join the course now, and is there a deadline for the project submission?",I don’t know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Do I need to wait for a confirmation email after signing up for LLM Zoomcamp, or can I just start right away?","You don’t need to wait for a confirmation email. You’re accepted, and you can start learning and submitting homework right away while the form is open. Registration is only used to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
I registered for the course but never got any email — does that mean I’m not in?,"No — you’re accepted. You don’t need the confirmation email, and registration isn’t checked against a list. You can just start learning and submit homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Is registration required before I can begin the LLM Zoomcamp homework?,"No. You can start the LLM Zoomcamp homework without registering. Registration is only to gauge interest, and it isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I didn’t fill out the registration form, can I still follow the course and submit assignments?","Yes — you can still follow the course and submit homework even if you didn’t fill out the registration form. Registration is not required; it was only used to gauge interest. As long as the submission form is still open, you can submit your homework.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registering for LLM Zoomcamp if there’s no acceptance email?,"There’s no acceptance email because you don’t need one — if you registered, you’re accepted.

Registration is only used to gauge interest before the course starts. It is **not** checked against a registered list, and you can start learning and submitting homework as long as the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link isn’t shared publicly?,"Students don’t use the Zoom link directly. The Zoom link is only shared with instructors/presenters/TAs.

Instead, students join via:
- **YouTube Live**: watch on the DataTalksClub YouTube channel
- **Announcements**: the video URL is posted in the **Telegram and Slack announcements channels** before the session starts
- **Questions**: submit them in **Slido** (the link is pinned in chat when live)

Don’t post questions in the chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
