question,document
Is it too late to join the course if I just found it now?,74eb249bbf
Can new students still sign up and follow along with the course?,74eb249bbf
"If I start the course late, will I still be able to get a certificate?",74eb249bbf
What do I need to do to qualify for a certificate if I join after the course has started?,74eb249bbf
"Am I allowed to join the course now, and is there a deadline for the project submission?",74eb249bbf
"Do I need to wait for a confirmation email after signing up for LLM Zoomcamp, or can I just start right away?",977bf7786c
I registered for the course but never got any email — does that mean I’m not in?,977bf7786c
Is registration required before I can begin the LLM Zoomcamp homework?,977bf7786c
"If I didn’t fill out the registration form, can I still follow the course and submit assignments?",977bf7786c
What’s the point of registering for LLM Zoomcamp if there’s no acceptance email?,977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link isn’t shared publicly?,489dd1c9d9
Where can I find the live video link for a Zoom office hours session before it starts?,489dd1c9d9
"Do students get access to the Zoom call for live sessions, or is there another way to watch and ask questions?",489dd1c9d9
What’s the best place to look for the stream URL for office hours or workshop events in this course?,489dd1c9d9
"If I want to follow a live workshop, should I use YouTube Live and Slido instead of the Zoom room?",489dd1c9d9
"Where should I begin if I’m starting this course from scratch, and what docs or repo should I check first?",04919992b3
What’s the usual weekly routine for the lessons and homework in this Zoomcamp?,04919992b3
"Do I have to start on a fixed date, or can I join and work through the materials whenever I want?",04919992b3
How do I keep track of deadlines and submit my homework for each week?,04919992b3
"Is the homework basically the same as the lesson notebook, or is it a different task/dataset?",04919992b3
How can I find my own entry on the course leaderboard if I don’t see my name right away?,c2903069a0
"Why do I have a random display name on the leaderboard, and can I change it?",c2903069a0
Where do I check what my current display name is in the course profile?,c2903069a0
What should I edit if I want my certificate to show my real name instead of the default nickname?,c2903069a0
"Can I use a Slack or GitHub handle as my public course name, and where is that set?",c2903069a0
"Can I go through the course on my own schedule and still receive the certificate, or does it only count if I join a live cohort?",69d122f12e
"If I study the lessons self-paced, am I allowed to submit the final project later and still qualify for the certificate?",69d122f12e
What are the exact requirements for getting the certificate in this course besides just doing the homework?,69d122f12e
Do I need to complete the capstone and peer reviews during an active cohort to get certified?,69d122f12e
Is it okay to prepare everything in self-paced mode and then turn in the project when the live cohort opens submissions?,69d122f12e
"If I skipped the first homework, can I still earn the course certificate by passing the Capstone project?",9f689c185f
"Are the homework assignments required for getting the certificate, or is the Capstone project enough?",9f689c185f
"Do I have to complete every homework to receive the certificate, or can I miss some and still pass?",9f689c185f
"What actually counts toward the certificate in this course, and is homework mandatory?",9f689c185f
"If homework isn't required, what is its purpose and does it affect the leaderboard ranking?",9f689c185f
Why does the homework page keep changing before it’s released?,96286b4be4
What does [DRAFT] in the homework title actually mean?,96286b4be4
How can I tell when a homework assignment is really ready?,96286b4be4
Is it safe to start the homework before the form opens?,96286b4be4
Can the final homework content still change after I see it?,96286b4be4
When is llm-zoomcamp scheduled to run again after this round?,bd31146b0e
Do you know the next time this course will be offered?,bd31146b0e
What’s the upcoming session for the course?,bd31146b0e
"Is there a plan for another run of the course soon, and when would that be?",bd31146b0e
When does the next offering of the course start?,bd31146b0e
Where can I find the LLM Zoomcamp lectures and videos?,31456f4b5f
Is there a main page or repo I should open first for the course videos?,31456f4b5f
"Do each of the lesson folders have the video links, or do I need to search YouTube separately?",31456f4b5f
